https://www.sciencekids.co.nz/images/pictures/flags96/Dominican_Republic.jpg,,Dominican_Republic,Dominican Republic,Santo Domingo
https://www.sciencekids.co.nz/images/pictures/flags96/East_Timor.jpg,,East_Timor,East Timor,Dili
https://www.sciencekids.co.nz/images/pictures/flags96/Ecuador.jpg,,Ecuador,Ecuador,Quito
https://www.sciencekids.co.nz/images/pictures/flags96/Egypt.jpg,,Egypt,Egypt,Cairo
https://www.sciencekids.co.nz/images/pictures/flags96/El_Salvador.jpg,,El_Salvador,El Salvador,San Salvador
https://www.sciencekids.co.nz/images/pictures/flags96/England.jpg,,England,England,London
https://www.sciencekids.co.nz/images/pictures/flags96/Equatorial_Guinea.jpg,,Equatorial_Guinea,Equatorial Guinea,Malabo
https://www.sciencekids.co.nz/images/pictures/flags96/Eritrea.jpg,,Eritrea,Eritrea,Asmara
https://www.sciencekids.co.nz/images/pictures/flags96/Estonia.jpg,,Estonia,Estonia,Tallinn
https://www.sciencekids.co.nz/images/pictures/flags96/Ethiopia.jpg,,Ethiopia,Ethiopia,Addis Ababa
https://www.sciencekids.co.nz/images/pictures/flags96/Fiji.jpg,,Fiji,Fiji,Suva
https://www.sciencekids.co.nz/images/pictures/flags96/Finland.jpg,,Finland,Finland,Helsinki
https://www.sciencekids.co.nz/images/pictures/flags96/France.jpg,,France,France,Paris
https://www.sciencekids.co.nz/images/pictures/flags96/Gabon.jpg,,Gabon,Gabon,Libreville
https://www.sciencekids.co.nz/images/pictures/flags96/Georgia.jpg,,Georgia,Georgia,Tbilisi
https://www.sciencekids.co.nz/images/pictures/flags96/Germany.jpg,,Germany,Germany,Berlin
https://www.sciencekids.co.nz/images/pictures/flags96/Ghana.jpg,,Ghana,Ghana,Accra
https://www.sciencekids.co.nz/images/pictures/flags96/Greece.jpg,,Greece,Greece,Athens
https://www.sciencekids.co.nz/images/pictures/flags96/Greenland.jpg,,Greenland,Greenland,Nuuk
https://www.sciencekids.co.nz/images/pictures/flags96/Grenada.jpg,,Grenada,Grenada,Saint George's
https://www.sciencekids.co.nz/images/pictures/flags96/Guam.jpg,,Guam,Guam,Hagåtña
https://www.sciencekids.co.nz/images/pictures/flags96/Guatemala.jpg,,Guatemala,Guatemala,Guatemala City
https://www.sciencekids.co.nz/images/pictures/flags96/Guinea.jpg,,Guinea,Guinea,Conakry
https://www.sciencekids.co.nz/images/pictures/flags96/Guinea-Bissau.jpg,,Guinea-Bissau,Guinea-Bissau,Bissau
https://www.sciencekids.co.nz/images/pictures/flags96/Guyana.jpg,,Guyana,Guyana,Georgetown
